year,state,month,number,date
2015,Pará,April,7.781,1/1/2015
2016,Pará,April,5.281,1/1/2016
2017,Pará,April,7.628,1/1/2017
1998,Pará,April,1.861,1/1/1998
1999,Pará,April,2.682,1/1/1999
2000,Pará,April,3.366,1/1/2000
2001,Pará,April,4.938,1/1/2001
2002,Pará,April,7.996,1/1/2002
2003,Pará,April,6.195,1/1/2003
2004,Pará,April,9.842,1/1/2004
2005,Pará,April,4.968,1/1/2005
2006,Pará,April,2.883,1/1/2006
2007,Pará,April,2.89,1/1/2007
2008,Pará,April,2.403,1/1/2008
2009,Pará,April,10.012,1/1/2009
2010,Pará,April,4.417,1/1/2010
2011,Pará,April,3.043,1/1/2011
2012,Pará,April,6.156,1/1/2012
2013,Pará,April,3.688,1/1/2013
2014,Pará,April,7.767,1/1/2014
2015,Pará,April,9.643,1/1/2015
2016,Pará,April,7.879,1/1/2016
2017,Pará,April,9.079,1/1/2017
1998,Pará,April,1.008,1/1/1998
1999,Pará,April,766,1/1/1999
2000,Pará,April,1.698,1/1/2000
2001,Pará,April,2.564,1/1/2001
2002,Pará,April,3.118,1/1/2002
2003,Pará,April,4.787,1/1/2003
2004,Pará,April,5.508,1/1/2004
2005,Pará,April,1.495,1/1/2005
2006,Pará,April,1.417,1/1/2006
2007,Pará,April,689,1/1/2007
2008,Pará,April,684,1/1/2008
2009,Pará,April,2.832,1/1/2009
2010,Pará,April,1.612,1/1/2010
2011,Pará,April,3.218,1/1/2011
2012,Pará,April,1.812,1/1/2012
2013,Pará,April,5.514,1/1/2013
2014,Pará,April,4.828,1/1/2014
2015,Pará,April,6.61,1/1/2015
2016,Pará,April,3.3,1/1/2016
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,26,1/1/1999
2000,Paraiba,April,0,1/1/2000
2001,Paraiba,April,11,1/1/2001
2002,Paraiba,April,5,1/1/2002
2003,Paraiba,April,70,1/1/2003
2004,Paraiba,April,33,1/1/2004
2005,Paraiba,April,178,1/1/2005
2006,Paraiba,April,83,1/1/2006
2007,Paraiba,April,69,1/1/2007
2008,Paraiba,April,77,1/1/2008
2009,Paraiba,April,115,1/1/2009
2010,Paraiba,April,46,1/1/2010
2011,Paraiba,April,11,1/1/2011
2012,Paraiba,April,61,1/1/2012
2013,Paraiba,April,38,1/1/2013
2014,Paraiba,April,75,1/1/2014
2015,Paraiba,April,42,1/1/2015
2016,Paraiba,April,18,1/1/2016
2017,Paraiba,April,23,1/1/2017
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,2,1/1/1999
2000,Paraiba,April,11,1/1/2000
2001,Paraiba,April,6,1/1/2001
2002,Paraiba,April,18,1/1/2002
2003,Paraiba,April,3,1/1/2003
2004,Paraiba,April,3,1/1/2004
2005,Paraiba,April,15,1/1/2005
2006,Paraiba,April,7,1/1/2006
2007,Paraiba,April,7,1/1/2007
2008,Paraiba,April,20,1/1/2008
2009,Paraiba,April,9,1/1/2009
2010,Paraiba,April,15,1/1/2010
2011,Paraiba,April,5,1/1/2011
2012,Paraiba,April,15,1/1/2012
2013,Paraiba,April,9,1/1/2013
2014,Paraiba,April,6,1/1/2014
2015,Paraiba,April,15,1/1/2015
2016,Paraiba,April,4,1/1/2016
2017,Paraiba,April,8,1/1/2017
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,1,1/1/1999
2000,Paraiba,April,5,1/1/2000
2001,Paraiba,April,0,1/1/2001
2002,Paraiba,April,3,1/1/2002
2003,Paraiba,April,0,1/1/2003
2004,Paraiba,April,3,1/1/2004
2005,Paraiba,April,13,1/1/2005
2006,Paraiba,April,4,1/1/2006
2007,Paraiba,April,1,1/1/2007
2008,Paraiba,April,8,1/1/2008
2009,Paraiba,April,2,1/1/2009
2010,Paraiba,April,16,1/1/2010
2011,Paraiba,April,6,1/1/2011
2012,Paraiba,April,4,1/1/2012
2013,Paraiba,April,3,1/1/2013
2014,Paraiba,April,18,1/1/2014
2015,Paraiba,April,7,1/1/2015
2016,Paraiba,April,1,1/1/2016
2017,Paraiba,April,2,1/1/2017
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,3,1/1/1999
2000,Paraiba,April,1,1/1/2000
2001,Paraiba,April,0,1/1/2001
2002,Paraiba,April,1,1/1/2002
2003,Paraiba,April,0,1/1/2003
2004,Paraiba,April,3,1/1/2004
2005,Paraiba,April,2,1/1/2005
2006,Paraiba,April,0,1/1/2006
2007,Paraiba,April,0,1/1/2007
2008,Paraiba,April,0,1/1/2008
2009,Paraiba,April,1,1/1/2009
2010,Paraiba,April,2,1/1/2010
2011,Paraiba,April,2,1/1/2011
2012,Paraiba,April,13,1/1/2012
2013,Paraiba,April,6,1/1/2013
2014,Paraiba,April,8,1/1/2014
2015,Paraiba,April,11,1/1/2015
2016,Paraiba,April,1,1/1/2016
2017,Paraiba,April,1,1/1/2017
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,0,1/1/1999
2000,Paraiba,April,0,1/1/2000
2001,Paraiba,April,4,1/1/2001
2002,Paraiba,April,1,1/1/2002
2003,Paraiba,April,0,1/1/2003
2004,Paraiba,April,1,1/1/2004
2005,Paraiba,April,0,1/1/2005
2006,Paraiba,April,0,1/1/2006
2007,Paraiba,April,0,1/1/2007
2008,Paraiba,April,0,1/1/2008
2009,Paraiba,April,0,1/1/2009
2010,Paraiba,April,10,1/1/2010
2011,Paraiba,April,0,1/1/2011
2012,Paraiba,April,10,1/1/2012
2013,Paraiba,April,3,1/1/2013
2014,Paraiba,April,1,1/1/2014
2015,Paraiba,April,6,1/1/2015
2016,Paraiba,April,1,1/1/2016
2017,Paraiba,April,1,1/1/2017
1998,Paraiba,April,3,1/1/1998
1999,Paraiba,April,1,1/1/1999
2000,Paraiba,April,2,1/1/2000
2001,Paraiba,April,0,1/1/2001
2002,Paraiba,April,1,1/1/2002
2003,Paraiba,April,0,1/1/2003
2004,Paraiba,April,0,1/1/2004
2005,Paraiba,April,0,1/1/2005
2006,Paraiba,April,0,1/1/2006
2007,Paraiba,April,0,1/1/2007
2008,Paraiba,April,0,1/1/2008
2009,Paraiba,April,0,1/1/2009
2010,Paraiba,April,3,1/1/2010
2011,Paraiba,April,2,1/1/2011
2012,Paraiba,April,5,1/1/2012
2013,Paraiba,April,3,1/1/2013
2014,Paraiba,April,1,1/1/2014
2015,Paraiba,April,0,1/1/2015
2016,Paraiba,April,4,1/1/2016
2017,Paraiba,April,0,1/1/2017
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,1,1/1/1999
2000,Paraiba,April,0,1/1/2000
2001,Paraiba,April,8,1/1/2001
2002,Paraiba,April,8,1/1/2002
2003,Paraiba,April,6,1/1/2003
2004,Paraiba,April,1,1/1/2004
2005,Paraiba,April,0,1/1/2005
2006,Paraiba,April,1,1/1/2006
2007,Paraiba,April,1,1/1/2007
2008,Paraiba,April,0,1/1/2008
2009,Paraiba,April,3,1/1/2009
2010,Paraiba,April,7,1/1/2010
2011,Paraiba,April,6,1/1/2011
2012,Paraiba,April,5,1/1/2012
2013,Paraiba,April,1,1/1/2013
2014,Paraiba,April,9,1/1/2014
2015,Paraiba,April,3,1/1/2015
2016,Paraiba,April,22,1/1/2016
2017,Paraiba,April,2,1/1/2017
1998,Paraiba,April,3,1/1/1998
1999,Paraiba,April,4,1/1/1999
2000,Paraiba,April,7,1/1/2000
2001,Paraiba,April,34,1/1/2001
2002,Paraiba,April,38,1/1/2002
2003,Paraiba,April,14,1/1/2003
2004,Paraiba,April,18,1/1/2004
2005,Paraiba,April,0,1/1/2005
2006,Paraiba,April,3,1/1/2006
2007,Paraiba,April,8,1/1/2007
2008,Paraiba,April,1,1/1/2008
2009,Paraiba,April,4,1/1/2009
2010,Paraiba,April,9,1/1/2010
2011,Paraiba,April,12,1/1/2011
2012,Paraiba,April,13,1/1/2012
2013,Paraiba,April,3,1/1/2013
2014,Paraiba,April,30,1/1/2014
2015,Paraiba,April,5,1/1/2015
2016,Paraiba,April,50,1/1/2016
2017,Paraiba,April,3,1/1/2017
1998,Paraiba,April,50,1/1/1998
1999,Paraiba,April,14,1/1/1999
2000,Paraiba,April,9,1/1/2000
2001,Paraiba,April,98,1/1/2001
2002,Paraiba,April,63,1/1/2002
2003,Paraiba,April,81,1/1/2003
2004,Paraiba,April,34,1/1/2004
2005,Paraiba,April,13,1/1/2005
2006,Paraiba,April,27,1/1/2006
2007,Paraiba,April,22,1/1/2007
2008,Paraiba,April,21,1/1/2008
2009,Paraiba,April,28,1/1/2009
2010,Paraiba,April,37,1/1/2010
2011,Paraiba,April,55,1/1/2011
2012,Paraiba,April,71,1/1/2012
2013,Paraiba,April,25,1/1/2013
2014,Paraiba,April,51,1/1/2014
2015,Paraiba,April,48,1/1/2015
2016,Paraiba,April,131,1/1/2016
2017,Paraiba,April,30,1/1/2017
1998,Paraiba,April,179,1/1/1998
1999,Paraiba,April,48,1/1/1999
2000,Paraiba,April,125,1/1/2000
2001,Paraiba,April,279,1/1/2001
2002,Paraiba,April,193,1/1/2002
2003,Paraiba,April,381,1/1/2003
2004,Paraiba,April,190,1/1/2004
2005,Paraiba,April,155,1/1/2005
2006,Paraiba,April,135,1/1/2006
2007,Paraiba,April,111,1/1/2007
2008,Paraiba,April,80,1/1/2008
2009,Paraiba,April,117,1/1/2009
2010,Paraiba,April,150,1/1/2010
2011,Paraiba,April,200,1/1/2011
2012,Paraiba,April,136,1/1/2012
2013,Paraiba,April,58,1/1/2013
2014,Paraiba,April,70,1/1/2014
2015,Paraiba,April,121,1/1/2015
2016,Paraiba,April,304,1/1/2016
2017,Paraiba,April,123,1/1/2017
1998,Paraiba,April,46,1/1/1998
1999,Paraiba,April,38,1/1/1999
2000,Paraiba,April,65,1/1/2000
2001,Paraiba,April,294,1/1/2001
2002,Paraiba,April,238,1/1/2002
2003,Paraiba,April,538,1/1/2003
2004,Paraiba,April,331,1/1/2004
2005,Paraiba,April,280,1/1/2005
2006,Paraiba,April,215,1/1/2006
2007,Paraiba,April,256,1/1/2007
2008,Paraiba,April,175,1/1/2008
2009,Paraiba,April,428,1/1/2009
2010,Paraiba,April,451,1/1/2010
2011,Paraiba,April,359,1/1/2011
2012,Paraiba,April,130,1/1/2012
2013,Paraiba,April,95,1/1/2013
2014,Paraiba,April,111,1/1/2014
2015,Paraiba,April,206,1/1/2015
2016,Paraiba,April,132,1/1/2016
2017,Paraiba,April,101,1/1/2017
1998,Paraiba,April,51,1/1/1998
1999,Paraiba,April,40,1/1/1999
2000,Paraiba,April,34,1/1/2000
2001,Paraiba,April,70,1/1/2001
2002,Paraiba,April,163,1/1/2002
2003,Paraiba,April,288,1/1/2003
2004,Paraiba,April,351,1/1/2004
2005,Paraiba,April,159,1/1/2005
2006,Paraiba,April,196,1/1/2006
2007,Paraiba,April,133,1/1/2007
2008,Paraiba,April,187,1/1/2008
2009,Paraiba,April,270,1/1/2009
2010,Paraiba,April,65,1/1/2010
2011,Paraiba,April,179,1/1/2011
2012,Paraiba,April,62,1/1/2012
2013,Paraiba,April,78,1/1/2013
2014,Paraiba,April,62,1/1/2014
2015,Paraiba,April,122,1/1/2015
2016,Paraiba,April,8,1/1/2016
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,7,1/1/1999
2000,Paraiba,April,49,1/1/2000
2001,Paraiba,April,32,1/1/2001
2002,Paraiba,April,47,1/1/2002
2003,Paraiba,April,109,1/1/2003
2004,Paraiba,April,88,1/1/2004
2005,Paraiba,April,55,1/1/2005
2006,Paraiba,April,78,1/1/2006
2007,Paraiba,April,11,1/1/2007
2008,Paraiba,April,35,1/1/2008
2009,Paraiba,April,35,1/1/2009
2010,Paraiba,April,18,1/1/2010
2011,Paraiba,April,35,1/1/2011
2012,Paraiba,April,31,1/1/2012
2013,Paraiba,April,28,1/1/2013
2014,Paraiba,April,86,1/1/2014
2015,Paraiba,April,120,1/1/2015
2016,Paraiba,April,113,1/1/2016
2017,Paraiba,April,55,1/1/2017
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,22,1/1/1999
2000,Paraiba,April,67,1/1/2000
2001,Paraiba,April,8,1/1/2001
2002,Paraiba,April,24,1/1/2002
2003,Paraiba,April,46,1/1/2003
2004,Paraiba,April,42,1/1/2004
2005,Paraiba,April,77,1/1/2005
2006,Paraiba,April,60,1/1/2006
2007,Paraiba,April,32,1/1/2007
2008,Paraiba,April,38,1/1/2008
2009,Paraiba,April,21,1/1/2009
2010,Paraiba,April,46,1/1/2010
2011,Paraiba,April,8,1/1/2011
2012,Paraiba,April,40,1/1/2012
2013,Paraiba,April,9,1/1/2013
2014,Paraiba,April,52,1/1/2014
2015,Paraiba,April,58,1/1/2015
2016,Paraiba,April,31,1/1/2016
2017,Paraiba,April,60,1/1/2017
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,40,1/1/1999
2000,Paraiba,April,52,1/1/2000
2001,Paraiba,April,12,1/1/2001
2002,Paraiba,April,18,1/1/2002
2003,Paraiba,April,76,1/1/2003
2004,Paraiba,April,83,1/1/2004
2005,Paraiba,April,84,1/1/2005
2006,Paraiba,April,56,1/1/2006
2007,Paraiba,April,54,1/1/2007
2008,Paraiba,April,43,1/1/2008
2009,Paraiba,April,57,1/1/2009
2010,Paraiba,April,22,1/1/2010
2011,Paraiba,April,21,1/1/2011
2012,Paraiba,April,55,1/1/2012
2013,Paraiba,April,18,1/1/2013
2014,Paraiba,April,42,1/1/2014
2015,Paraiba,April,55,1/1/2015
2016,Paraiba,April,63,1/1/2016
2017,Paraiba,April,43,1/1/2017
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,39,1/1/1999
2000,Paraiba,April,51,1/1/2000
2001,Paraiba,April,43,1/1/2001
2002,Paraiba,April,84,1/1/2002
2003,Paraiba,April,130,1/1/2003
2004,Paraiba,April,68,1/1/2004
2005,Paraiba,April,22,1/1/2005
2006,Paraiba,April,49,1/1/2006
2007,Paraiba,April,14,1/1/2007
2008,Paraiba,April,62,1/1/2008
2009,Paraiba,April,80,1/1/2009
2010,Paraiba,April,71,1/1/2010
2011,Paraiba,April,38,1/1/2011
2012,Paraiba,April,38,1/1/2012
2013,Paraiba,April,72,1/1/2013
2014,Paraiba,April,38,1/1/2014
2015,Paraiba,April,83,1/1/2015
2016,Paraiba,April,167,1/1/2016
2017,Paraiba,April,77,1/1/2017
1998,Paraiba,April,0,1/1/1998
1999,Paraiba,April,57,1/1/1999
2000,Paraiba,April,43,1/1/2000
2001,Paraiba,April,26,1/1/2001
2002,Paraiba,April,65,1/1/2002
2003,Paraiba,April,115,1/1/2003
2004,Paraiba,April,9,1/1/2004
2005,Paraiba,April,125,1/1/2005
2006,Paraiba,April,90,1/1/2006
2007,Paraiba,April,14,1/1/2007
2008,Paraiba,April,41,1/1/2008
2009,Paraiba,April,117,1/1/2009
2010,Paraiba,April,39,1/1/2010
2011,Paraiba,April,97,1/1/2011
2012,Paraiba,April,86,1/1/2012
2013,Paraiba,April,85,1/1/2013
2014,Paraiba,April,109,1/1/2014
2015,Paraiba,April,77,1/1/2015
2016,Paraiba,April,72,1/1/2016
2017,Paraiba,April,49,1/1/2017
1998,Paraiba,April,36,1/1/1998
1999,Paraiba,April,31,1/1/1999
2000,Paraiba,April,53,1/1/2000
2001,Paraiba,April,43,1/1/2001
2002,Paraiba,April,115,1/1/2002
2003,Paraiba,April,159,1/1/2003
2004,Paraiba,April,147,1/1/2004
2005,Paraiba,April,114,1/1/2005
2006,Paraiba,April,62,1/1/2006
2007,Paraiba,April,57,1/1/2007
2008,Paraiba,April,17,1/1/2008
2009,Paraiba,April,105,1/1/2009
2010,Paraiba,April,55,1/1/2010
2011,Paraiba,April,162,1/1/2011
2012,Paraiba,April,77,1/1/2012
2013,Paraiba,April,52,1/1/2013
2014,Paraiba,April,112,1/1/2014
2015,Paraiba,April,201,1/1/2015
2016,Paraiba,April,238,1/1/2016
2017,Paraiba,April,169,1/1/2017
1998,Paraiba,April,59,1/1/1998
1999,Paraiba,April,94,1/1/1999
2000,Paraiba,April,98,1/1/2000
2001,Paraiba,April,122,1/1/2001
2002,Paraiba,April,172,1/1/2002
2003,Paraiba,April,101,1/1/2003
2004,Paraiba,April,148,1/1/2004
2005,Paraiba,April,155,1/1/2005
2006,Paraiba,April,139,1/1/2006
2007,Paraiba,April,60,1/1/2007
2008,Paraiba,April,87,1/1/2008
2009,Paraiba,April,34,1/1/2009
2010,Paraiba,April,196,1/1/2010
2011,Paraiba,April,262,1/1/2011
2012,Paraiba,April,111,1/1/2012
2013,Paraiba,April,168,1/1/2013
2014,Paraiba,April,215,1/1/2014
2015,Paraiba,April,137,1/1/2015
2016,Paraiba,April,504,1/1/2016
2017,Paraiba,April,891,1/1/2017
1998,Paraiba,April,42,1/1/1998
1999,Paraiba,April,938,1/1/1999
2000,Paraiba,April,849,1/1/2000
2001,Paraiba,April,342,1/1/2001
2002,Paraiba,April,1.593,1/1/2002
2003,Paraiba,April,1.896,1/1/2003
2004,Paraiba,April,1.237,1/1/2004
2005,Paraiba,April,800,1/1/2005
2006,Paraiba,April,844,1/1/2006
2007,Paraiba,April,580,1/1/2007
2008,Paraiba,April,205,1/1/2008
2009,Paraiba,April,844,1/1/2009
2010,Paraiba,April,733,1/1/2010
2011,Paraiba,April,435,1/1/2011
2012,Paraiba,April,522,1/1/2012
2013,Paraiba,April,481,1/1/2013
2014,Paraiba,April,646,1/1/2014
2015,Paraiba,April,651,1/1/2015
2016,Paraiba,April,1.01,1/1/2016
2017,Paraiba,April,987,1/1/2017
1998,Paraiba,April,61,1/1/1998
1999,Paraiba,April,878,1/1/1999
2000,Paraiba,April,381,1/1/2000
2001,Paraiba,April,258,1/1/2001
2002,Paraiba,April,1.071,1/1/2002
2003,Paraiba,April,2.446,1/1/2003
2004,Paraiba,April,1.36,1/1/2004
2005,Paraiba,April,386,1/1/2005
2006,Paraiba,April,866,1/1/2006
2007,Paraiba,April,960,1/1/2007
2008,Paraiba,April,413,1/1/2008
2009,Paraiba,April,149,1/1/2009
2010,Paraiba,April,270,1/1/2010
2011,Paraiba,April,913,1/1/2011
2012,Paraiba,April,459,1/1/2012
2013,Paraiba,April,476,1/1/2013
2014,Paraiba,April,443,1/1/2014
2015,Paraiba,April,599,1/1/2015
2016,Paraiba,April,1.371,1/1/2016
2017,Paraiba,April,1.706,1/1/2017
1998,Paraiba,April,61,1/1/1998
1999,Paraiba,April,452,1/1/1999
2000,Paraiba,April,658,1/1/2000
2001,Paraiba,April,209,1/1/2001
2002,Paraiba,April,399,1/1/2002
2003,Paraiba,April,1.228,1/1/2003
2004,Paraiba,April,666,1/1/2004
2005,Paraiba,April,157,1/1/2005
2006,Paraiba,April,327,1/1/2006
2007,Paraiba,April,194,1/1/2007
2008,Paraiba,April,78,1/1/2008
2009,Paraiba,April,424,1/1/2009
2010,Paraiba,April,230,1/1/2010
2011,Paraiba,April,256,1/1/2011
2012,Paraiba,April,145,1/1/2012
2013,Paraiba,April,233,1/1/2013
2014,Paraiba,April,411,1/1/2014
2015,Paraiba,April,158,1/1/2015
2016,Paraiba,April,193,1/1/2016
2017,Paraiba,April,134,1/1/2017
1998,Paraiba,April,143,1/1/1998
1999,Paraiba,April,447,1/1/1999
2000,Paraiba,April,85,1/1/2000
2001,Paraiba,April,89,1/1/2001
2002,Paraiba,April,425,1/1/2002
2003,Paraiba,April,503,1/1/2003
2004,Paraiba,April,388,1/1/2004
2005,Paraiba,April,597,1/1/2005
2006,Paraiba,April,60,1/1/2006
2007,Paraiba,April,59,1/1/2007
2008,Paraiba,April,39,1/1/2008
2009,Paraiba,April,90,1/1/2009
2010,Paraiba,April,183,1/1/2010
2011,Paraiba,April,138,1/1/2011
2012,Paraiba,April,142,1/1/2012
2013,Paraiba,April,126,1/1/2013
2014,Paraiba,April,68,1/1/2014
2015,Paraiba,April,18,1/1/2015
2016,Paraiba,April,275,1/1/2016
2017,Paraiba,April,292,1/1/2017
1998,Paraiba,April,82,1/1/1998
1999,Paraiba,April,254,1/1/1999
2000,Paraiba,April,159,1/1/2000
2001,Paraiba,April,85,1/1/2001
2002,Paraiba,April,165,1/1/2002
2003,Paraiba,April,171,1/1/2003
2004,Paraiba,April,151,1/1/2004
2005,Paraiba,April,40,1/1/2005
2006,Paraiba,April,6,1/1/2006
2007,Paraiba,April,22,1/1/2007
2008,Paraiba,April,62,1/1/2008
2009,Paraiba,April,30,1/1/2009
2010,Paraiba,April,37,1/1/2010
2011,Paraiba,April,78,1/1/2011
2012,Paraiba,April,54,1/1/2012
2013,Paraiba,April,155,1/1/2013
2014,Paraiba,April,78,1/1/2014
2015,Paraiba,April,30,1/1/2015
2016,Paraiba,April,45,1/1/2016
1998,Pernambuco,April,0,1/1/1998
1999,Pernambuco,April,102,1/1/1999
2000,Pernambuco,April,3,1/1/2000
2001,Pernambuco,April,7,1/1/2001
2002,Pernambuco,April,10,1/1/2002
2003,Pernambuco,April,188,1/1/2003
2004,Pernambuco,April,29,1/1/2004
2005,Pernambuco,April,221,1/1/2005
2006,Pernambuco,April,148,1/1/2006
2007,Pernambuco,April,156,1/1/2007
2008,Pernambuco,April,170,1/1/2008
2009,Pernambuco,April,256,1/1/2009
2010,Pernambuco,April,47,1/1/2010
2011,Pernambuco,April,49,1/1/2011
2012,Pernambuco,April,146,1/1/2012
2013,Pernambuco,April,55,1/1/2013
2014,Pernambuco,April,99,1/1/2014
2015,Pernambuco,April,109,1/1/2015
2016,Pernambuco,April,24,1/1/2016
2017,Pernambuco,April,52,1/1/2017
1998,Pernambuco,April,0,1/1/1998
1999,Pernambuco,April,13,1/1/1999
2000,Pernambuco,April,4,1/1/2000
2001,Pernambuco,April,2,1/1/2001
2002,Pernambuco,April,19,1/1/2002
2003,Pernambuco,April,35,1/1/2003
2004,Pernambuco,April,8,1/1/2004
2005,Pernambuco,April,33,1/1/2005
2006,Pernambuco,April,41,1/1/2006
2007,Pernambuco,April,21,1/1/2007
2008,Pernambuco,April,48,1/1/2008
2009,Pernambuco,April,28,1/1/2009
2010,Pernambuco,April,33,1/1/2010
2011,Pernambuco,April,25,1/1/2011
2012,Pernambuco,April,64,1/1/2012
2013,Pernambuco,April,29,1/1/2013
2014,Pernambuco,April,25,1/1/2014
2015,Pernambuco,April,55,1/1/2015
2016,Pernambuco,April,19,1/1/2016
2017,Pernambuco,April,23,1/1/2017
1998,Pernambuco,April,0,1/1/1998
1999,Pernambuco,April,27,1/1/1999
2000,Pernambuco,April,14,1/1/2000
2001,Pernambuco,April,0,1/1/2001
2002,Pernambuco,April,24,1/1/2002
2003,Pernambuco,April,9,1/1/2003
2004,Pernambuco,April,6,1/1/2004
2005,Pernambuco,April,45,1/1/2005
2006,Pernambuco,April,18,1/1/2006
2007,Pernambuco,April,4,1/1/2007
2008,Pernambuco,April,32,1/1/2008
2009,Pernambuco,April,15,1/1/2009
2010,Pernambuco,April,59,1/1/2010
2011,Pernambuco,April,39,1/1/2011
2012,Pernambuco,April,44,1/1/2012
2013,Pernambuco,April,40,1/1/2013
2014,Pernambuco,April,36,1/1/2014
2015,Pernambuco,April,33,1/1/2015
2016,Pernambuco,April,4,1/1/2016
2017,Pernambuco,April,7,1/1/2017
1998,Pernambuco,April,0,1/1/1998
1999,Pernambuco,April,2,1/1/1999
2000,Pernambuco,April,1,1/1/2000
2001,Pernambuco,April,2,1/1/2001
2002,Pernambuco,April,5,1/1/2002
2003,Pernambuco,April,7,1/1/2003
2004,Pernambuco,April,5,1/1/2004
2005,Pernambuco,April,1,1/1/2005
2006,Pernambuco,April,2,1/1/2006
2007,Pernambuco,April,1,1/1/2007
2008,Pernambuco,April,5,1/1/2008
2009,Pernambuco,April,3,1/1/2009
2010,Pernambuco,April,2,1/1/2010
2011,Pernambuco,April,22,1/1/2011
2012,Pernambuco,April,46,1/1/2012
2013,Pernambuco,April,11,1/1/2013
2014,Pernambuco,April,10,1/1/2014
2015,Pernambuco,April,30,1/1/2015
2016,Pernambuco,April,8,1/1/2016
2017,Pernambuco,April,9,1/1/2017
1998,Pernambuco,April,0,1/1/1998
1999,Pernambuco,April,6,1/1/1999
2000,Pernambuco,April,7,1/1/2000
2001,Pernambuco,April,5,1/1/2001
2002,Pernambuco,April,13,1/1/2002
2003,Pernambuco,April,1,1/1/2003
2004,Pernambuco,April,2,1/1/2004
2005,Pernambuco,April,1,1/1/2005
2006,Pernambuco,April,1,1/1/2006
2007,Pernambuco,April,0,1/1/2007
2008,Pernambuco,April,0,1/1/2008
2009,Pernambuco,April,0,1/1/2009
2010,Pernambuco,April,8,1/1/2010
2011,Pernambuco,April,1,1/1/2011
2012,Pernambuco,April,36,1/1/2012
2013,Pernambuco,April,9,1/1/2013
2014,Pernambuco,April,4,1/1/2014
2015,Pernambuco,April,17,1/1/2015
2016,Pernambuco,April,6,1/1/2016
2017,Pernambuco,April,13,1/1/2017
1998,Pernambuco,April,1,1/1/1998
1999,Pernambuco,April,7,1/1/1999
2000,Pernambuco,April,4,1/1/2000
2001,Pernambuco,April,2,1/1/2001
2002,Pernambuco,April,1,1/1/2002
2003,Pernambuco,April,2,1/1/2003
2004,Pernambuco,April,4,1/1/2004
2005,Pernambuco,April,3,1/1/2005
2006,Pernambuco,April,0,1/1/2006
2007,Pernambuco,April,1,1/1/2007
2008,Pernambuco,April,0,1/1/2008
2009,Pernambuco,April,1,1/1/2009
2010,Pernambuco,April,1,1/1/2010
2011,Pernambuco,April,4,1/1/2011
2012,Pernambuco,April,12,1/1/2012
2013,Pernambuco,April,12,1/1/2013
2014,Pernambuco,April,3,1/1/2014
2015,Pernambuco,April,3,1/1/2015
2016,Pernambuco,April,4,1/1/2016
2017,Pernambuco,April,5,1/1/2017
1998,Pernambuco,April,5,1/1/1998
1999,Pernambuco,April,2,1/1/1999
2000,Pernambuco,April,0,1/1/2000
2001,Pernambuco,April,6,1/1/2001
2002,Pernambuco,April,8,1/1/2002
2003,Pernambuco,April,5,1/1/2003
2004,Pernambuco,April,13,1/1/2004
2005,Pernambuco,April,1,1/1/2005
2006,Pernambuco,April,1,1/1/2006
2007,Pernambuco,April,3,1/1/2007
2008,Pernambuco,April,0,1/1/2008
2009,Pernambuco,April,1,1/1/2009
2010,Pernambuco,April,7,1/1/2010
2011,Pernambuco,April,2,1/1/2011
2012,Pernambuco,April,11,1/1/2012
2013,Pernambuco,April,4,1/1/2013
2014,Pernambuco,April,11,1/1/2014
2015,Pernambuco,April,13,1/1/2015
2016,Pernambuco,April,17,1/1/2016
2017,Pernambuco,April,2,1/1/2017
1998,Pernambuco,April,12,1/1/1998
1999,Pernambuco,April,3,1/1/1999
2000,Pernambuco,April,31,1/1/2000
2001,Pernambuco,April,27,1/1/2001
2002,Pernambuco,April,37,1/1/2002
2003,Pernambuco,April,26,1/1/2003
2004,Pernambuco,April,41,1/1/2004
2005,Pernambuco,April,10,1/1/2005
2006,Pernambuco,April,8,1/1/2006
2007,Pernambuco,April,20,1/1/2007
2008,Pernambuco,April,2,1/1/2008
2009,Pernambuco,April,10,1/1/2009
2010,Pernambuco,April,29,1/1/2010
2011,Pernambuco,April,27,1/1/2011
2012,Pernambuco,April,27,1/1/2012
2013,Pernambuco,April,14,1/1/2013
2014,Pernambuco,April,23,1/1/2014
2015,Pernambuco,April,21,1/1/2015
2016,Pernambuco,April,42,1/1/2016
2017,Pernambuco,April,20,1/1/2017
1998,Pernambuco,April,177,1/1/1998
1999,Pernambuco,April,64,1/1/1999
2000,Pernambuco,April,130,1/1/2000
2001,Pernambuco,April,298,1/1/2001
2002,Pernambuco,April,374,1/1/2002
2003,Pernambuco,April,510,1/1/2003
2004,Pernambuco,April,192,1/1/2004
2005,Pernambuco,April,154,1/1/2005
2006,Pernambuco,April,147,1/1/2006
2007,Pernambuco,April,164,1/1/2007
